,Item Name,Item Price
0,David Dobrik Matcha Sunset Hoodie,67.00
1,David Dobrik Matcha Sunset Shirt,40.00
2,David Dobrik Pink Sunset Hoodie,67.00
3,David Dobrik Pink Sunset Shirt,40.00
4,David Dobrik Stone Gray Iridescent Shirt,40.00
5,David Dobrik Stone Gray Iridescent Hoodie,67.00
6,David Dobrik Birthday Title Card Hoodie,74.00
7,David Dobrik Birthday Title Card Shirt,40.00
8,David Dobrik Purple Cloud Hoodie,74.00
9,David Dobrik Blue Cloud Hoodie,74.00
10,David Dobrik Pigment Blue Shirt,34.00
11,David Dobrik Pigment Purple Shirt,34.00
12,David Dobrik Mint Beverly Hoodie,67.00
13,David Dobrik Pink Beverly Hoodie,67.00
14,David Dobrik Vintage Black Beverly Hoodie,Sold Out
15,David Dobrik Yellow Beverly Shirt,38.00
16,David Dobrik Black Beverly Shirt,38.00
17,David Dobrik Campus Clickbait Hoodie,54.00
18,David Dobrik Campus Clickbait T-Shirt,Sold Out
19,David Dobrik Official Clickbait Patch Hoodie,67.00
